stock_id,stock_name,market,market_cap,sector,industry,symbol
61128c48fc13ae5a9d0000aa,"Axon Enterprise, Inc.",NASDAQ,$1.34B,Capital Goods,Ordnance And Accessories,AAXN
61128c48fc13ae5a9d0000ab,Wipro Limited,NYSE,$23.74B,Technology,EDP Services,WIT
61128c48fc13ae5a9d0000ac,"Qorvo, Inc.",NASDAQ,$9.12B,Technology,Semiconductors,QRVO
61128c48fc13ae5a9d0000ad,"Entergy Louisiana, Inc.",NYSE,n/a,Public Utilities,Electric Utilities: Central,ELU
61128c48fc13ae5a9d0000ae,General Motors Company,NYSE,$51.8B,Capital Goods,Auto Manufacturing,GM
61128c48fc13ae5a9d0000af,Guggenheim Credit Allocation Fund,NYSE,$161.51M,n/a,n/a,GGM
61128c48fc13ae5a9d0000b0,"Tarena International, Inc.",NASDAQ,$1.03B,Consumer Services,Other Consumer Services,TEDU
61128c48fc13ae5a9d0000b1,Colfax Corporation,NYSE,$4.88B,Capital Goods,Fluid Controls,CFX
61128c48fc13ae5a9d0000b2,DTE Energy Company,NYSE,$19.95B,Public Utilities,Electric Utilities: Central,DTE
61128c48fc13ae5a9d0000b3,Vanguard Russell 2000 Growth ETF,NASDAQ,$184.64M,n/a,n/a,VTWG
61128c48fc13ae5a9d0000b4,Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,NYSE,$323.86M,Transportation,Marine Transportation,GNK
61128c48fc13ae5a9d0000b5,Asia Pacific Wire & Cable Corporation Limited,NASDAQ,$39.39M,Basic Industries,Telecommunications Equipment,APWC
61128c48fc13ae5a9d0000b6,Berkshire Hathaway Inc.,NYSE,n/a,n/a,n/a,BRK.A
61128c48fc13ae5a9d0000b7,Renren Inc.,NYSE,$420.27M,Technology,EDP Services,RENN
61128c48fc13ae5a9d0000b8,Kornit Digital Ltd.,NASDAQ,$643.74M,Capital Goods,Industrial Machinery/Components,KRNT
61128c48fc13ae5a9d0000b9,U.S. Energy Corp.,NASDAQ,$4.6M,Energy,Oil & Gas Production,USEG
61128c48fc13ae5a9d0000ba,Artisan Partners Asset Management Inc.,NYSE,$2.24B,Finance,Investment Managers,APAM
61128c48fc13ae5a9d0000bb,Medallion Financial Corp.,NASDAQ,$55.6M,Finance,Finance: Consumer Services,MFIN
61128c48fc13ae5a9d0000bc,"AmeriGas Partners, L.P.",NYSE,$4.27B,Consumer Services,Other Specialty Stores,APU
61128c48fc13ae5a9d0000bd,"Civista Bancshares, Inc. ",NASDAQ,n/a,Finance,Major Banks,CIVBP
61128c48fc13ae5a9d0000be,CYREN Ltd.,NASDAQ,$80.33M,Technology,Computer Software: Prepackaged Software,CYRN
61128c48fc13ae5a9d0000bf,Gramercy Property Trust,NYSE,$4.59B,Consumer Services,Real Estate Investment Trusts,GPT
61128c48fc13ae5a9d0000c0,Diana Shipping inc.,NYSE,$390.56M,Transportation,Marine Transportation,DSX
61128c48fc13ae5a9d0000c1,"Lake Shore Bancorp, Inc.",NASDAQ,$97.19M,Finance,Savings Institutions,LSBK
61128c48fc13ae5a9d0000c2,Phillips 66 Partners LP,NYSE,$5.04B,Energy,Natural Gas Distribution,PSXP
61128c48fc13ae5a9d0000c3,Eldorado Gold Corporation,NYSE,$1.97B,Basic Industries,Precious Metals,EGO
61128c48fc13ae5a9d0000c4,DDR Corp.,NYSE,n/a,n/a,n/a,DDR^K
61128c48fc13ae5a9d0000c5,"Texas Capital Bancshares, Inc.",NASDAQ,$155.4M,Finance,Major Banks,TCBIP
61128c48fc13ae5a9d0000c6,First Foundation Inc.,NASDAQ,$543.15M,Finance,Major Banks,FFWM
61128c48fc13ae5a9d0000c7,"PDF Solutions, Inc.",NASDAQ,$527.78M,Technology,EDP Services,PDFS
61128c48fc13ae5a9d0000c8,WildHorse Resource Development Corporation,NYSE,$1.21B,Energy,Oil & Gas Production,WRD
61128c48fc13ae5a9d0000c9,First Trust Strategic High Income Fund II,NYSE,$112.34M,n/a,n/a,FHY
61128c48fc13ae5a9d0000ca,Hess Midstream Partners LP,NYSE,$1.17B,Energy,Oil & Gas Production,HESM
61128c48fc13ae5a9d0000cb,Nuveen High Income 2020 Target Term Fund,NYSE,$296.92M,n/a,n/a,JHA
61128c48fc13ae5a9d0000cc,PowerShares DWA Healthcare Momentum Portfolio,NASDAQ,$61.7M,n/a,n/a,PTH
61128c48fc13ae5a9d0000cd,Blackrock MuniHoldings Investment Quality Fund,NYSE,$556.34M,n/a,n/a,MFL
61128c48fc13ae5a9d0000ce,"Sanderson Farms, Inc.",NASDAQ,$2.88B,Consumer Non-Durables,Meat/Poultry/Fish,SAFM
61128c48fc13ae5a9d0000cf,Blackrock MuniYield Investment Fund,NYSE,$217.64M,n/a,n/a,MYF
61128c48fc13ae5a9d0000d0,Kemper Corporation,NYSE,$2.05B,Finance,Property-Casualty Insurers,KMPR
61128c48fc13ae5a9d0000d1,"Global Brass and Copper Holdings, Inc.",NYSE,$675.15M,Capital Goods,Metal Fabrications,BRSS
61128c48fc13ae5a9d0000d2,"Barnes Group, Inc.",NYSE,$3.16B,Capital Goods,Metal Fabrications,B
61128c48fc13ae5a9d0000d3,"SK Telecom Co., Ltd.",NYSE,$15.23B,Public Utilities,Telecommunications Equipment,SKM
61128c48fc13ae5a9d0000d4,State Bank Financial Corporation.,NASDAQ,$1.04B,Finance,Major Banks,STBZ
61128c48fc13ae5a9d0000d5,"SunTrust Banks, Inc.",NYSE,$27.15B,Finance,Major Banks,STI
61128c48fc13ae5a9d0000d6,"Franklin Financial Network, Inc.",NYSE,$541.39M,Finance,Major Banks,FSB
61128c48fc13ae5a9d0000d7,Pentair plc.,NYSE,$12.15B,Technology,Industrial Machinery/Components,PNR
61128c48fc13ae5a9d0000d8,"Equus Total Return, Inc.",NYSE,$30.96M,n/a,n/a,EQS
61128c48fc13ae5a9d0000d9,"Aeglea BioTherapeutics, Inc.",NASDAQ,$47.08M,Health Care,Major Pharmaceuticals,AGLE
61128c48fc13ae5a9d0000da,"Interface, Inc.",NASDAQ,$1.22B,Consumer Durables,Home Furnishings,TILE
61128c48fc13ae5a9d0000db,Royal Bank Scotland plc (The),NYSE,n/a,n/a,n/a,RBS^L
61128c48fc13ae5a9d0000dc,Nordson Corporation,NASDAQ,$6.78B,Capital Goods,Industrial Machinery/Components,NDSN
61128c48fc13ae5a9d0000dd,The First of Long Island Corporation,NASDAQ,$665.88M,Finance,Major Banks,FLIC
61128c48fc13ae5a9d0000de,"Industrias Bachoco, S.A. de C.V.",NYSE,$2.86B,Consumer Non-Durables,Meat/Poultry/Fish,IBA
61128c48fc13ae5a9d0000df,"SmartFinancial, Inc.",NASDAQ,$201.19M,Finance,Major Banks,SMBK
61128c48fc13ae5a9d0000e0,"Timberland Bancorp, Inc.",NASDAQ,$177.78M,Finance,Banks,TSBK
61128c48fc13ae5a9d0000e1,Hovnanian Enterprises Inc,NYSE,$340.42M,Capital Goods,Homebuilding,HOV
61128c48fc13ae5a9d0000e2,"Freightcar America, Inc.",NASDAQ,$212.14M,Capital Goods,Railroads,RAIL
61128c48fc13ae5a9d0000e3,AAR Corp.,NYSE,$1.21B,Capital Goods,Aerospace,AIR
61128c48fc13ae5a9d0000e4,Enel Americas S.A.,NYSE,$10.9B,Public Utilities,Electric Utilities: Central,ENIA
61128c48fc13ae5a9d0000e5,"SMART Global Holdings, Inc.",NASDAQ,$316.82M,Technology,Semiconductors,SGH
61128c48fc13ae5a9d0000e6,Constellation Brands Inc,NYSE,n/a,n/a,n/a,STZ.B
61128c48fc13ae5a9d0000e7,SBA Communications Corporation,NASDAQ,$16.14B,Consumer Services,Real Estate Investment Trusts,SBAC
61128c48fc13ae5a9d0000e8,"Aemetis, Inc",NASDAQ,$29.54M,Basic Industries,Major Chemicals,AMTX
61128c48fc13ae5a9d0000e9,iPath US Treasury 5-year Bear ETN,NASDAQ,$1.25M,Finance,Commercial Banks,DFVS
61128c48fc13ae5a9d0000ea,Liberty Media Corporation,NASDAQ,n/a,Consumer Services,Broadcasting,LSXMB
61128c48fc13ae5a9d0000eb,"Sanderson Farms, Inc.",NASDAQ,$2.88B,Consumer Non-Durables,Meat/Poultry/Fish,SAFM
61128c48fc13ae5a9d0000ec,"Meridian Waste Solutions, Inc",NASDAQ,$21.66M,Basic Industries,Miscellaneous,MRDN
61128c48fc13ae5a9d0000ed,United States Steel Corporation,NYSE,$3.52B,Basic Industries,Steel/Iron Ore,X
61128c48fc13ae5a9d0000ee,Kite Realty Group Trust,NYSE,$1.57B,Consumer Services,Real Estate Investment Trusts,KRG
61128c48fc13ae5a9d0000ef,KNOT Offshore Partners LP,NYSE,$702.27M,Consumer Services,Marine Transportation,KNOP
61128c48fc13ae5a9d0000f0,Reading International Inc,NASDAQ,$367M,Consumer Services,Movies/Entertainment,RDI
61128c48fc13ae5a9d0000f1,ChinaCache International Holdings Ltd.,NASDAQ,$34.01M,Technology,EDP Services,CCIH
61128c48fc13ae5a9d0000f2,Puma Biotechnology Inc,NASDAQ,$2.88B,Health Care,Major Pharmaceuticals,PBYI
61128c48fc13ae5a9d0000f3,"ADDvantage Technologies Group, Inc.",NASDAQ,$16.61M,Consumer Services,Office Equipment/Supplies/Services,AEY
61128c48fc13ae5a9d0000f4,"SB Financial Group, Inc.",NASDAQ,n/a,Finance,Major Banks,SBFGP
61128c48fc13ae5a9d0000f5,Public Storage,NYSE,n/a,Consumer Services,Real Estate Investment Trusts,PSA^T
61128c48fc13ae5a9d0000f6,Bank of America Corporation,NYSE,$233.17B,Finance,Major Banks,BAC
61128c48fc13ae5a9d0000f7,National Energy Services Reunited Corp.,NASDAQ,n/a,Finance,Business Services,NESRW
61128c48fc13ae5a9d0000f8,Regency Centers Corporation,NYSE,n/a,n/a,n/a,REG^G
61128c48fc13ae5a9d0000f9,"Warrior Met Coal, Inc.",NYSE,$847.88M,Energy,Coal Mining,HCC
61128c48fc13ae5a9d0000fa,AGNC Investment Corp.,NASDAQ,$7.3B,Consumer Services,Real Estate Investment Trusts,AGNC
61128c48fc13ae5a9d0000fb,"Reinsurance Group of America, Incorporated",NYSE,$8.29B,Finance,Life Insurance,RGA
61128c48fc13ae5a9d0000fc,"B. Riley Financial, Inc.",NASDAQ,$410.14M,Miscellaneous,Business Services,RILY
61128c48fc13ae5a9d0000fd,"Strata Skin Sciences, Inc.",NASDAQ,$6.36M,Health Care,Medical/Dental Instruments,SSKN
61128c48fc13ae5a9d0000fe,First Trust NASDAQ Clean Edge Green Energy Index Fund,NASDAQ,$61.17M,n/a,n/a,QCLN
61128c48fc13ae5a9d0000ff,"Proofpoint, Inc.",NASDAQ,$3.82B,Technology,EDP Services,PFPT
61128c48fc13ae5a9d000100,"Honda Motor Company, Ltd.",NYSE,$50.21B,Capital Goods,Auto Manufacturing,HMC
61128c48fc13ae5a9d000101,Boulevard Acquisition Corp. II,NASDAQ,n/a,Finance,Business Services,BLVDW
61128c48fc13ae5a9d000102,Nuveen Michigan Quality Municipal Income Fund,NYSE,$286.36M,n/a,n/a,NUM
61128c48fc13ae5a9d000103,"Adamas Pharmaceuticals, Inc.",NASDAQ,$391.07M,Health Care,Major Pharmaceuticals,ADMS
61128c48fc13ae5a9d000104,Eaton Vance Tax-Managed Buy-Write Income Fund,NYSE,$404.02M,n/a,n/a,ETB
61128c48fc13ae5a9d000105,Caesarstone Ltd.,NASDAQ,$1.17B,Capital Goods,Building Materials,CSTE
61128c48fc13ae5a9d000106,Christopher & Banks Corporation,NYSE,$48.91M,Consumer Services,Clothing/Shoe/Accessory Stores,CBK
61128c48fc13ae5a9d000107,Partner Communications Company Ltd.,NASDAQ,$828.02M,Public Utilities,Telecommunications Equipment,PTNR
61128c48fc13ae5a9d000108,"Five Prime Therapeutics, Inc.",NASDAQ,$809.46M,Health Care,Major Pharmaceuticals,FPRX
61128c48fc13ae5a9d000109,Novogen Limited,NASDAQ,$16.59M,Health Care,Major Pharmaceuticals,NVGN
61128c48fc13ae5a9d00010a,"Pioneer Power Solutions, Inc.",NASDAQ,$56.68M,Consumer Durables,Electrical Products,PPSI
61128c48fc13ae5a9d00010b,"Barnes & Noble Education, Inc",NYSE,$478.88M,Consumer Services,Other Specialty Stores,BNED
61128c48fc13ae5a9d00010c,"Wecast Network, Inc.",NASDAQ,$130.02M,Consumer Services,Television Services,WCST
61128c48fc13ae5a9d00010d,Glaukos Corporation,NYSE,$1.39B,Health Care,Medical/Dental Instruments,GKOS
61128c48fc13ae5a9d00010e,"USANA Health Sciences, Inc.",NYSE,$1.6B,Consumer Durables,Specialty Chemicals,USNA
61128c48fc13ae5a9d00010f,Biglari Holdings Inc.,NYSE,$842.99M,Consumer Services,Restaurants,BH
61128c48fc13ae5a9d000110,"Office Depot, Inc.",NASDAQ,$2.81B,Consumer Services,Other Specialty Stores,ODP
61128c48fc13ae5a9d000111,"Triumph Bancorp, Inc.",NASDAQ,$428.18M,Finance,Major Banks,TBK
61128c48fc13ae5a9d000112,Ingredion Incorporated,NYSE,$8.52B,Consumer Non-Durables,Packaged Foods,INGR
61128c48fc13ae5a9d000113,"BroadVision, Inc.",NASDAQ,$21.6M,Technology,Computer Software: Prepackaged Software,BVSN
61128c48fc13ae5a9d000114,"United States Lime & Minerals, Inc.",NASDAQ,$432.95M,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),USLM
61128c48fc13ae5a9d000115,"American Financial Group, Inc.",NYSE,n/a,n/a,n/a,AFW.CL
61128c48fc13ae5a9d000116,AMREP Corporation,NYSE,$56.38M,Consumer Services,Newspapers/Magazines,AXR
61128c48fc13ae5a9d000117,VEON Ltd.,NASDAQ,$6.59B,Public Utilities,Telecommunications Equipment,VEON
61128c48fc13ae5a9d000118,Public Service Enterprise Group Incorporated,NYSE,$22.49B,Public Utilities,Power Generation,PEG
61128c48fc13ae5a9d000119,Nuveen Massachusetts Municipal Income Fund,NYSE,$128.91M,n/a,n/a,NMT
61128c48fc13ae5a9d00011a,Bright Scholar Education Holdings Limited,NYSE,$1.38B,Consumer Services,Other Consumer Services,BEDU
61128c48fc13ae5a9d00011b,Riverview Bancorp Inc,NASDAQ,$148.35M,Finance,Savings Institutions,RVSB
61128c48fc13ae5a9d00011c,"Summit Hotel Properties, Inc.",NYSE,n/a,n/a,n/a,INN^C
61128c48fc13ae5a9d00011d,"Sensus Healthcare, Inc.",NASDAQ,$52.75M,Health Care,Medical/Dental Instruments,SRTS
61128c48fc13ae5a9d00011e,"Silicon Laboratories, Inc.",NASDAQ,$3B,Technology,Semiconductors,SLAB
61128c48fc13ae5a9d00011f,"Boston Private Financial Holdings, Inc.",NASDAQ,n/a,Finance,Major Banks,BPFHP
61128c48fc13ae5a9d000120,Brightcove Inc.,NASDAQ,$213.5M,Technology,EDP Services,BCOV
61128c48fc13ae5a9d000121,Old Point Financial Corporation,NASDAQ,$150.3M,Finance,Major Banks,OPOF
61128c48fc13ae5a9d000122,On Track Innovations Ltd,NASDAQ,$51.37M,Technology,Semiconductors,OTIV
61128c48fc13ae5a9d000123,"Connecticut Water Service, Inc.",NASDAQ,$663.37M,Public Utilities,Water Supply,CTWS
61128c48fc13ae5a9d000124,BiondVax Pharmaceuticals Ltd.,NASDAQ,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),BVXVW
61128c48fc13ae5a9d000125,Lehman ABS Corporation,NYSE,n/a,Finance,Finance: Consumer Services,KTN
61128c48fc13ae5a9d000126,Redhill Biopharma Ltd.,NASDAQ,$146.7M,Health Care,Major Pharmaceuticals,RDHL
61128c48fc13ae5a9d000127,JM Global Holding Company,NASDAQ,$65.43M,Finance,Business Services,WYIG
61128c48fc13ae5a9d000128,Zion Oil & Gas Inc,NASDAQ,$99.51M,Energy,Oil & Gas Production,ZN
61128c48fc13ae5a9d000129,NeoPhotonics Corporation,NYSE,$382.11M,Technology,Semiconductors,NPTN
61128c48fc13ae5a9d00012a,"PS Business Parks, Inc.",NYSE,n/a,n/a,n/a,PSB^T
61128c48fc13ae5a9d00012b,Student Transportation Inc,NASDAQ,$562.64M,Transportation,Other Transportation,STB
61128c48fc13ae5a9d00012c,Seanergy Maritime Holdings Corp,NASDAQ,n/a,Transportation,Marine Transportation,SHIPW
61128c48fc13ae5a9d00012d,Enduro Royalty Trust,NYSE,$113.85M,Energy,Oil & Gas Production,NDRO
61128c48fc13ae5a9d00012e,The Priceline Group Inc. ,NASDAQ,$88.58B,Miscellaneous,Business Services,PCLN
61128c48fc13ae5a9d00012f,Pitney Bowes Inc.,NYSE,n/a,n/a,n/a,PBI^B
61128c48fc13ae5a9d000130,"Spark Energy, Inc.",NASDAQ,$806.93M,Public Utilities,Power Generation,SPKE
61128c48fc13ae5a9d000131,Nuveen Municipal High Income Opportunity Fund,NYSE,$794.98M,n/a,n/a,NMZ
61128c48fc13ae5a9d000132,FlexShares Real Assets Allocation Index Fund,NASDAQ,$3.49M,n/a,n/a,ASET
61128c48fc13ae5a9d000133,California Water  Service Group Holding,NYSE,$1.8B,Public Utilities,Water Supply,CWT
61128c48fc13ae5a9d000134,The Gabelli Healthcare & Wellness Trust,NYSE,$208.41M,n/a,n/a,GRX
61128c48fc13ae5a9d000135,"Heritage-Crystal Clean, Inc.",NASDAQ,$325.53M,Basic Industries,Miscellaneous,HCCI
61128c48fc13ae5a9d000136,"Exponent, Inc.",NASDAQ,$1.53B,Consumer Services,Professional Services,EXPO
61128c48fc13ae5a9d000137,"Delcath Systems, Inc.",NASDAQ,$8.33M,Health Care,Medical/Dental Instruments,DCTH
61128c48fc13ae5a9d000138,"Berry Global Group, Inc.",NYSE,$7.48B,Consumer Non-Durables,Plastic Products,BERY
61128c48fc13ae5a9d000139,"Ruby Tuesday, Inc.",NYSE,$133.85M,Consumer Services,Restaurants,RT
61128c48fc13ae5a9d00013a,Getty Realty Corporation,NYSE,$896.38M,Finance,Real Estate,GTY
61128c48fc13ae5a9d00013b,"Advanced Drainage Systems, Inc.",NYSE,$1.13B,Capital Goods,Containers/Packaging,WMS
61128c48fc13ae5a9d00013c,Abercrombie & Fitch Company,NYSE,$852.24M,Consumer Services,Clothing/Shoe/Accessory Stores,ANF
61128c48fc13ae5a9d00013d,"Piedmont Office Realty Trust, Inc.",NYSE,$3.1B,Consumer Services,Building operators,PDM
61128c48fc13ae5a9d00013e,Bank of N.T. Butterfield & Son Limited (The),NYSE,$1.9B,Finance,Commercial Banks,NTB
61128c48fc13ae5a9d00013f,Booz Allen Hamilton Holding Corporation,NYSE,$4.72B,Consumer Services,Professional Services,BAH
61128c48fc13ae5a9d000140,"Virtus Investment Partners, Inc.",NASDAQ,n/a,Finance,Investment Managers,VRTSP
61128c48fc13ae5a9d000141,"United Natural Foods, Inc.",NASDAQ,$1.79B,Consumer Non-Durables,Food Distributors,UNFI
61128c48fc13ae5a9d000142,Brookfield Global Listed Infrastructure Income Fund,NYSE,$188.64M,n/a,n/a,INF
61128c48fc13ae5a9d000143,PetroChina Company Limited,NYSE,$116.38B,Energy,Oil & Gas Production,PTR
61128c48fc13ae5a9d000144,Koppers Holdings Inc.,NYSE,$716.78M,Basic Industries,Forest Products,KOP
61128c48fc13ae5a9d000145,Global X Internet of Things ETF,NASDAQ,n/a,n/a,n/a,SNSR
